"ordem","pid","moradia_classe","moradia_zoneamento","lote_fachada","lote_area","rua_tipo","beco_tipo","lote_formato","terreno_contorno","utilidades","lote_config","terreno_declive","vizinhanca","condicao_1","condicao_2","moradia_tipo","moradia_estilo","geral_qualidade","geral_condicao","construcao_ano","remodelacao_ano","telhado_estilo","telhado_material","exterior_cobertura_1","exterior_cobertura_2","alvenaria_tipo","alvenaria_area","exterior_qualidade","exterior_condicao","fundacao_tipo","porao_qualidade","porao_condicao","porao_exposicao","porao_acabamento_1","porao_area_com_acabamento_1","porao_acabamento_2","porao_area_com_acabamento_2","porao_area_sem_acabamento","porao_area_total","porao_num_banheiros","porao_num_banheiros_lavabos","aquecimento_tipo","aquecimento_qualidade_condicao","ar_condicionado_central","sistema_eletrico_tipo","primeiro_andar_area","segundo_andar_area","acabamento_baixa_qualidade_area","acima_solo_area","acima_solo_num_banheiros","acima_solo_num_lavabos","acima_solo_num_quartos","acima_solo_num_cozinhas","cozinha_qualidade","acima_solo_num_comodos","funcional","total_num_lareiras","lareira_qualidade","garagem_tipo","garagem_ano_construcao","garagem_acabamento","garagem_capacidade_carros","garagem_area","garagem_qualidade","garagem_condicao","entrada_veiculo_pavimentada","deck_madeira_area","varanda_aberta_area","varanda_fechada_area","varanda_3ssn_area","varanda_com_tela_area","piscina_area","piscina_qualidade","cerca_qualidade","funcionalidades_diversas","funcionalidades_valor","venda_mes","venda_ano","venda_tipo","venda_condicao","venda_valor"
842,"0907135170","020","Residencial baixa densidade",60,8072,"pavimentada",NA,"regular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote interno","declive leve","College Creek","normal","normal","família única","um andar","média","média",1994,1995,"duas águas","telha padrão (composto)","tapume de vinil","tapume de vinil","nenhum",0,"m\u00e9dia","boa","concreto derrramado","boa","boa","No","alojamento médio",746,"não finalizado",0,244,990,1,0,"forno de ar quente a gás","excelente","Y","disjuntores padrão e Romex",990,0,0,990,1,0,3,1,"média",5,"funcionalidade típica",0,NA,"garagem não anexada à casa",2000,"não terminada",2,480,"média","média","Y",0,64,0,0,0,0,NA,NA,NA,0,5,2009,"WD ","venda normal",138000
843,"0907175100","060","Residencial baixa densidade",80,10400,"pavimentada",NA,"regular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote de esquina","declive leve","College Creek","normal","normal","família única","dois andares","boa","média",1998,1998,"duas águas","telha padrão (composto)","tapume de vinil","tapume de vinil","nenhum",0,"m\u00e9dia","média","concreto derrramado","boa","média","exposição média","não finalizado",0,"não finalizado",0,866,866,0,0,"forno de ar quente a gás","excelente","Y","disjuntores padrão e Romex",866,913,0,1779,2,1,3,1,"boa",6,"funcionalidade típica",0,NA,"anexada à casa",1998,"acabamento grosseiro",2,546,"média","média","Y",198,36,0,0,0,0,NA,NA,NA,0,3,2009,"WD ","venda normal",197900
844,"0907180130","020","Residencial baixa densidade",78,10335,"pavimentada",NA,"levemente irregular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote interno","declive leve","College Creek","normal","normal","família única","um andar","boa","média",1999,1999,"duas águas","telha padrão (composto)","tapume de vinil","tapume de vinil","face de tijolo",183,"boa","média","concreto derrramado","boa","média","exposição boa","alojamento bom",679,"não finalizado",0,811,1490,1,0,"forno de ar quente a gás","excelente","Y","disjuntores padrão e Romex",1501,0,0,1501,2,0,3,1,"boa",6,"funcionalidade típica",0,NA,"anexada à casa",1999,"acabamento grosseiro",2,577,"média","média","Y",144,29,0,0,0,0,NA,NA,NA,0,6,2009,"WD ","venda normal",204000
845,"0907181100","020","Residencial baixa densidade",68,9017,"pavimentada",NA,"levemente irregular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote interno","declive leve","College Creek","normal","normal","família única","um andar","boa","média",1999,1999,"duas águas","telha padrão (composto)","tapume de vinil","tapume de vinil","nenhum",0,"boa","média","concreto derrramado","boa","média","exposição média","alojamento bom",560,"não finalizado",0,871,1431,1,0,"forno de ar quente a gás","excelente","Y","disjuntores padrão e Romex",1431,0,0,1431,2,0,3,1,"boa",6,"funcionalidade típica",0,NA,"anexada à casa",1999,"terminada",2,666,"média","média","Y",0,35,0,0,0,0,NA,NA,NA,0,9,2009,"WD ","venda normal",192000
846,"0907185050","060","Residencial baixa densidade",70,8750,"pavimentada",NA,"regular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote interno","declive leve","College Creek","normal","normal","família única","dois andares","acima da média","média",1998,1998,"duas águas","telha padrão (composto)","tapume de vinil","tapume de vinil","face de tijolo",120,"m\u00e9dia","média","concreto derrramado","boa","média","No","alojamento bom",606,"não finalizado",0,322,928,1,0,"forno de ar quente a gás","excelente","Y","disjuntores padrão e Romex",928,844,0,1772,2,1,3,1,"média",7,"funcionalidade típica",1,"média","anexada à casa",1998,"acabamento grosseiro",2,492,"média","média","Y",150,96,0,0,0,0,NA,NA,NA,0,4,2009,"WD ","venda normal",200000
847,"0907192030","060","Residencial baixa densidade",68,8935,"pavimentada",NA,"levemente irregular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote interno","declive leve","College Creek","normal","normal","família única","dois andares","boa","média",2002,2002,"duas águas","telha padrão (composto)","tapume de vinil","tapume de vinil","face de tijolo",95,"boa","média","concreto derrramado","boa","média","No","não finalizado",0,"não finalizado",0,831,831,0,0,"forno de ar quente a gás","excelente","Y","disjuntores padrão e Romex",831,829,0,1660,2,1,3,1,"boa",7,"funcionalidade típica",0,NA,"anexada à casa",2002,"acabamento grosseiro",2,493,"média","média","Y",144,68,0,0,0,0,NA,NA,NA,0,7,2009,"WD ","venda normal",195000
848,"0907192090","020","Residencial baixa densidade",67,9808,"pavimentada",NA,"levemente irregular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote interno","declive leve","College Creek","normal","normal","família única","um andar","boa","média",2002,2002,"duas águas","telha padrão (composto)","tapume de vinil","tapume de vinil","face de tijolo",110,"boa","média","concreto derrramado","boa","média","No","alojamento bom",788,"não finalizado",0,785,1573,1,0,"forno de ar quente a gás","excelente","Y","disjuntores padrão e Romex",1573,0,0,1573,2,0,3,1,"boa",6,"funcionalidade típica",0,NA,"anexada à casa",2002,"acabamento grosseiro",2,544,"média","média","Y",0,72,0,0,0,0,NA,NA,NA,0,3,2009,"WD ","venda normal",227000
849,"0907194010","060","Residencial baixa densidade",79,12420,"pavimentada",NA,"regular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote interno","declive leve","College Creek","normal","normal","família única","dois andares","boa","média",2001,2001,"duas águas","telha padrão (composto)","tapume de vinil","tapume de vinil","nenhum",0,"boa","média","concreto derrramado","boa","média","No","alojamento bom",666,"não finalizado",0,278,944,1,0,"forno de ar quente a gás","excelente","Y","disjuntores padrão e Romex",944,896,0,1840,2,1,3,1,"boa",6,"funcionalidade típica",0,NA,"anexada à casa",2001,"acabamento grosseiro",2,622,"média","média","Y",0,45,0,0,0,0,NA,NA,NA,0,6,2009,"WD ","venda normal",230000
850,"0907194110","020","Residencial baixa densidade",67,16285,"pavimentada",NA,"moderadamente irregular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote interno","declive leve","College Creek","normal","normal","família única","um andar","boa","média",2001,2002,"duas águas","telha padrão (composto)","tapume de vinil","tapume de vinil","nenhum",0,"boa","média","concreto derrramado","boa","média","No","não finalizado",0,"não finalizado",0,1413,1413,0,0,"forno de ar quente a gás","excelente","Y","disjuntores padrão e Romex",1430,0,0,1430,2,0,3,1,"boa",6,"funcionalidade típica",0,NA,"anexada à casa",2001,"acabamento grosseiro",2,605,"média","média","Y",0,33,0,0,0,0,NA,NA,NA,0,6,2009,"WD ","venda normal",187100
851,"0907194160","020","Residencial baixa densidade",65,10739,"pavimentada",NA,"levemente irregular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote interno","declive leve","College Creek","normal","normal","família única","um andar","boa","média",2002,2001,"duas águas","telha padrão (composto)","tapume de vinil","tapume de vinil","face de tijolo",68,"boa","média","concreto derrramado","boa","média","No","alojamento bom",1259,"não finalizado",0,172,1431,1,0,"forno de ar quente a gás","excelente","Y","disjuntores padrão e Romex",1444,0,0,1444,2,0,3,1,"boa",6,"funcionalidade típica",0,NA,"anexada à casa",2002,"acabamento grosseiro",2,577,"média","média","Y",144,40,0,0,0,0,NA,NA,NA,0,4,2009,"WD ","venda normal",203000
852,"0907196060","020","Residencial baixa densidade",75,11166,"pavimentada",NA,"regular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote interno","declive leve","College Creek","normal","normal","família única","um andar","boa","média",2001,2001,"duas águas","telha padrão (composto)","tapume de vinil","tapume de vinil","face de tijolo",180,"boa","média","concreto derrramado","boa","média","exposição mínima","alojamento bom",24,"não finalizado",0,1468,1492,0,0,"forno de ar quente a gás","excelente","Y","disjuntores padrão e Romex",1492,0,0,1492,2,0,3,1,"boa",6,"funcionalidade típica",1,"média","anexada à casa",2001,"acabamento grosseiro",2,608,"média","média","Y",0,114,0,0,168,0,NA,NA,NA,0,7,2009,"WD ","venda entre membros de família",201000
853,"0907200230","020","Residencial baixa densidade",60,8430,"pavimentada",NA,"regular","encosta","todas as utilidades p\u00fablicas","lote interno","declive moderado","College Creek","normal","normal","família única","um andar","média","média",1978,1978,"duas águas","telha padrão (composto)","placa dura","placa dura","face de tijolo",136,"m\u00e9dia","média","bloco de concreto","boa","média","No","sala de recreação média",616,"não finalizado",0,424,1040,0,0,"forno de ar quente a gás","média","Y","disjuntores padrão e Romex",1040,0,0,1040,2,0,3,1,"média",5,"funcionalidade típica",0,NA,NA,NA,NA,0,0,NA,NA,"Y",0,0,0,0,0,0,NA,NA,NA,0,8,2009,"WD ","venda normal",124000
854,"0907201220","020","Residencial baixa densidade",NA,16269,"pavimentada",NA,"levemente irregular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","rua sem saída","declive leve","College Creek","normal","normal","família única","um andar","média","média",1978,1978,"duas águas","telha padrão (composto)","tapume de metal","tapume de metal","face de tijolo",76,"m\u00e9dia","média","tijolo e telha","boa","média","exposição média","alojamento bom",625,"não finalizado",0,282,907,0,0,"forno de ar quente a gás","média","Y","disjuntores padrão e Romex",907,0,0,907,1,0,3,1,"média",5,"funcionalidade típica",0,NA,"anexada à casa",1978,"não terminada",1,343,"média","média","Y",72,0,0,0,0,0,NA,"mínima privacidade",NA,0,7,2009,"WD ","venda normal",140000
855,"0907201280","020","Residencial baixa densidade",76,6950,"pavimentada",NA,"levemente irregular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote interno","declive leve","College Creek","normal","normal","família única","um andar","média","boa",1979,1979,"duas águas","telha padrão (composto)","placa dura","placa dura","face de tijolo",40,"m\u00e9dia","média","bloco de concreto","média","média","No","alojamento médio",710,"alojamento abaixo da média",72,132,914,1,0,"forno de ar quente a gás","média","Y","disjuntores padrão e Romex",914,0,0,914,1,0,2,1,"média",5,"funcionalidade típica",0,NA,"anexada à casa",1979,"não terminada",2,444,"média","média","Y",0,0,0,0,0,0,NA,NA,NA,0,10,2009,"WD ","venda normal",134900
856,"0907202050","020","Residencial baixa densidade",61,8800,"pavimentada",NA,"levemente irregular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote interno","declive leve","College Creek","normal","normal","família única","um andar","média","boa",1977,2008,"duas águas","telha padrão (composto)","placa dura","placa dura","nenhum",0,"m\u00e9dia","média","bloco de concreto","boa","média","exposição mínima","baixa qualidade",532,"sala de recreação média",144,364,1040,0,0,"forno de ar quente a gás","média","Y","disjuntores padrão e Romex",1040,0,0,1040,2,0,3,1,"boa",5,"funcionalidade típica",0,NA,"garagem não anexada à casa",1977,"não terminada",2,484,"média","média","Y",0,0,0,0,288,0,NA,NA,NA,0,9,2009,"WD ","venda normal",150500
857,"0907202080","020","Residencial baixa densidade",NA,7000,"pavimentada",NA,"levemente irregular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","rua sem saída","declive leve","College Creek","normal","normal","família única","um andar","média","muito boa",1978,2005,"duas águas","telha padrão (composto)","tapume de vinil","tapume de vinil","face de tijolo",90,"boa","boa","bloco de concreto","média","média","No","alojamento médio",646,"não finalizado",0,218,864,1,0,"forno de ar quente a gás","excelente","Y","disjuntores padrão e Romex",864,0,0,864,1,0,3,1,"média",6,"funcionalidade típica",0,NA,"anexada à casa",1978,"não terminada",1,336,"média","média","Y",0,0,0,0,0,0,NA,"boa madeira",NA,0,7,2009,"WD ","venda normal",136500
858,"0907202130","020","Residencial baixa densidade",NA,9286,"pavimentada",NA,"levemente irregular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","rua sem saída","declive moderado","College Creek","normal","normal","família única","um andar","média","boa",1977,1989,"duas águas","telha padrão (composto)","placa dura","madeirra compensada","nenhum",0,"m\u00e9dia","média","bloco de concreto","boa","boa","exposição média","alojamento médio",196,"não finalizado",0,1072,1268,0,0,"forno de ar quente a gás","média","Y","disjuntores padrão e Romex",1268,0,0,1268,1,1,3,1,"boa",5,"funcionalidade típica",0,NA,"garagem não anexada à casa",1978,"não terminada",1,252,"média","média","Y",173,0,0,0,0,0,NA,NA,NA,0,10,2009,"WD ","venda normal",143500
859,"0907227030","020","Residencial baixa densidade",36,15523,"pavimentada",NA,"levemente irregular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","rua sem saída","declive leve","College Creek","normal","normal","família única","um andar","média","acima da média",1972,1972,"duas águas","telha padrão (composto)","placa dura","madeirra compensada","nenhum",0,"m\u00e9dia","média","bloco de concreto","média","média","exposição média","alojamento abaixo da média",460,"não finalizado",0,404,864,1,0,"forno de ar quente a gás","excelente","Y","disjuntores padrão e Romex",864,0,0,864,1,0,3,1,"média",5,"funcionalidade típica",1,"regular","anexada à casa",1972,"não terminada",1,338,"média","média","Y",0,0,0,0,0,0,NA,NA,NA,0,8,2009,"WD ","venda normal",133500
860,"0907227080","020","Residencial baixa densidade",60,7200,"pavimentada",NA,"regular","depressão","todas as utilidades p\u00fablicas","lote interno","declive leve","College Creek","normal","normal","família única","um andar","média","média",1972,1972,"quadril","telha padrão (composto)","tapume de metal","tapume de metal","nenhum",0,"m\u00e9dia","média","bloco de concreto","média","média","exposição média","sala de recreação média",777,"não finalizado",0,117,894,0,0,"forno de ar quente a gás","média","Y","disjuntores padrão e Romex",894,0,0,894,1,0,2,1,"média",6,"funcionalidade típica",0,NA,"garagem não anexada à casa",1985,"acabamento grosseiro",2,600,"média","média","Y",215,0,0,0,0,0,NA,NA,NA,0,9,2009,"WD ","venda normal",123000
861,"0907227110","salão de entrada dividido (split foyer)","Residencial baixa densidade",60,7200,"pavimentada",NA,"regular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote interno","declive leve","College Creek","normal","normal","família única","hall de entrada dividido (split foyer)","média","muito boa",1972,2003,"duas águas","telha padrão (composto)","telhas de madeira","placa dura","nenhum",0,"m\u00e9dia","boa","bloco de concreto","boa","média","exposição média","alojamento bom",660,"não finalizado",0,108,768,0,1,"forno de ar quente a gás","boa","Y","disjuntores padrão e Romex",768,0,0,768,1,0,2,1,"média",5,"funcionalidade típica",0,NA,"garagem não anexada à casa",1974,"terminada",1,396,"média","média","Y",192,0,0,0,0,0,NA,"mínima privacidade",NA,0,4,2009,"WD ","venda normal",133900
862,"0907227290","salão de entrada dividido (split foyer)","Residencial baixa densidade",70,8445,"pavimentada",NA,"regular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote de esquina","declive leve","College Creek","normal","normal","família única","hall de entrada dividido (split foyer)","média","boa",1972,2007,"duas águas","telha padrão (composto)","placa dura","Wd Shng","nenhum",0,"m\u00e9dia","média","bloco de concreto","boa","média","exposição média","alojamento bom",656,"não finalizado",0,112,768,1,0,"forno de ar quente a gás","média","Y","disjuntores padrão e Romex",768,0,0,768,1,0,2,1,"média",5,"funcionalidade típica",0,NA,"garagem não anexada à casa",1988,"não terminada",2,396,"média","média","Y",58,0,0,0,0,0,NA,"mínima privacidade",NA,0,3,2009,"WD ","venda normal",133000
863,"0907250070","020","Residencial baixa densidade",90,11664,"pavimentada",NA,"regular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote de esquina","declive leve","College Creek","normal","normal","família única","um andar","boa","média",2002,2002,"quadril","telha padrão (composto)","tapume de vinil","tapume de vinil","nenhum",0,"boa","média","concreto derrramado","boa","média","exposição média","alojamento bom",1234,"não finalizado",0,335,1569,1,0,"forno de ar quente a gás","excelente","Y","disjuntores padrão e Romex",1611,0,0,1611,2,0,3,1,"boa",6,"funcionalidade típica",0,NA,"anexada à casa",2002,"acabamento grosseiro",3,1231,"média","média","Y",262,93,0,0,0,0,NA,NA,NA,0,9,2009,"WD ","venda normal",250000
864,"0907252060","060","Residencial baixa densidade",NA,12334,"pavimentada",NA,"levemente irregular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote interno","declive leve","College Creek","normal","normal","família única","dois andares","muito boa","média",2003,2003,"duas águas","telha padrão (composto)","tapume de vinil","tapume de vinil","face de tijolo",198,"boa","média","concreto derrramado","boa","média","exposição média","não finalizado",0,"não finalizado",0,1068,1068,0,0,"forno de ar quente a gás","excelente","Y","disjuntores padrão e Romex",1068,1116,0,2184,2,1,4,1,"boa",8,"funcionalidade típica",1,"boa","embutida",2003,"acabamento grosseiro",2,570,"média","média","Y",192,132,0,0,0,0,NA,NA,NA,0,6,2009,"WD ","venda normal",254750
865,"0907252210","020","Residencial baixa densidade",NA,11838,"pavimentada",NA,"regular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote interno","declive leve","College Creek","normal","normal","família única","um andar","muito boa","média",2001,2001,"quadril","telha padrão (composto)","tapume de vinil","tapume de vinil","nenhum",0,"boa","média","concreto derrramado","boa","média","exposição média","não finalizado",0,"não finalizado",0,1753,1753,0,0,"forno de ar quente a gás","excelente","Y","disjuntores padrão e Romex",1788,0,0,1788,2,0,3,1,"excelente",7,"funcionalidade típica",1,"média","anexada à casa",2001,"acabamento grosseiro",2,522,"média","média","Y",202,151,0,0,0,0,NA,NA,NA,0,6,2009,"WD ","venda normal",236500
866,"0907252220","060","Residencial baixa densidade",NA,11885,"pavimentada",NA,"regular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote interno","declive leve","College Creek","normal","normal","família única","dois andares","muito boa","média",2001,2001,"duas águas","telha padrão (composto)","tapume de vinil","tapume de vinil","face de tijolo",108,"boa","média","concreto derrramado","boa","média","exposição média","alojamento bom",990,"não finalizado",0,309,1299,1,0,"forno de ar quente a gás","excelente","Y","disjuntores padrão e Romex",1299,573,0,1872,2,1,3,1,"excelente",7,"funcionalidade típica",1,"média","embutida",2001,"acabamento grosseiro",2,531,"média","média","Y",160,122,0,0,0,0,NA,NA,NA,0,11,2009,"WD ","venda normal",261500
867,"0907253130","060","Residencial baixa densidade",NA,11050,"pavimentada",NA,"regular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote interno","declive leve","College Creek","próximo a recurso positivo - parque, cinturão verde etc","normal","família única","dois andares","excelente","média",2000,2000,"quadril","telha padrão (composto)","tapume de vinil","tapume de vinil","face de tijolo",204,"boa","média","concreto derrramado","excelente","média","exposição mínima","alojamento bom",904,"não finalizado",0,536,1440,1,0,"forno de ar quente a gás","excelente","Y","disjuntores padrão e Romex",1476,677,0,2153,2,1,3,1,"excelente",8,"funcionalidade típica",2,"excelente","anexada à casa",2000,"terminada",3,736,"média","média","Y",253,142,0,0,0,0,NA,NA,NA,0,5,2009,"WD ","venda normal",313000
868,"0907260030","060","Residencial baixa densidade",70,8749,"pavimentada",NA,"regular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote interno","declive leve","College Creek","normal","normal","família única","dois andares","boa","média",2002,2002,"duas águas","telha padrão (composto)","tapume de vinil","tapume de vinil",NA,NA,"boa","média","concreto derrramado","boa","média","No","não finalizado",0,"não finalizado",0,840,840,0,0,"forno de ar quente a gás","excelente","Y","disjuntores padrão e Romex",840,885,0,1725,2,1,3,1,"boa",6,"funcionalidade típica",0,NA,"anexada à casa",2002,"acabamento grosseiro",2,550,"média","média","Y",0,48,0,0,0,0,NA,NA,NA,0,11,2009,"WD ","venda normal",198500
869,"0907265010","060","Residencial baixa densidade",NA,11250,"pavimentada",NA,"regular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote de esquina","declive leve","College Creek","normal","normal","família única","dois andares","boa","média",2001,2001,"duas águas","telha padrão (composto)","tapume de vinil","tapume de vinil","nenhum",0,"boa","média","concreto derrramado","boa","média","No","não finalizado",0,"não finalizado",0,944,944,0,0,"forno de ar quente a gás","excelente","Y","disjuntores padrão e Romex",944,926,0,1870,2,1,3,1,"boa",6,"funcionalidade típica",0,NA,"anexada à casa",2001,"acabamento grosseiro",2,608,"média","média","Y",256,43,0,0,0,0,NA,NA,NA,0,5,2009,"WD ","venda normal",211000
870,"0907275010","020","Residencial baixa densidade",90,15750,"pavimentada",NA,"regular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","fachada em três lados da propriedade","declive leve","College Creek","adjacente a rua alimentadora","normal","família única","um andar","muito boa","média",1999,2000,"duas águas","telha padrão (composto)","tapume de vinil","tapume de vinil","face de tijolo",260,"boa","média","concreto derrramado","boa","média","exposição boa","alojamento bom",1246,"não finalizado",0,216,1462,1,0,"forno de ar quente a gás","excelente","Y","disjuntores padrão e Romex",1513,0,0,1513,2,0,2,1,"boa",5,"funcionalidade típica",1,"média","anexada à casa",1999,"terminada",2,521,"média","média","Y",135,34,0,0,0,0,NA,NA,NA,0,6,2009,"WD ","venda normal",220000
871,"0907275090","020","Residencial baixa densidade",73,11883,"pavimentada",NA,"regular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote interno","declive leve","College Creek","normal","normal","família única","um andar","boa","média",1996,1996,"quadril","telha padrão (composto)","tapume de vinil","tapume de vinil","face de tijolo",196,"boa","média","concreto derrramado","boa","média","exposição boa","alojamento bom",690,"não finalizado",0,814,1504,1,0,"forno de ar quente a gás","excelente","Y","disjuntores padrão e Romex",1504,0,0,1504,2,0,3,1,"boa",6,"funcionalidade típica",1,"média","anexada à casa",1996,"terminada",2,478,"média","média","Y",115,66,0,0,0,0,NA,NA,NA,0,6,2009,"WD ","venda normal",203000
872,"0907275140","020","Residencial baixa densidade",NA,12782,"pavimentada",NA,"regular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote interno","declive leve","College Creek","normal","normal","família única","um andar","muito boa","média",2002,2003,"quadril","telha padrão (composto)","placa dura","placa dura","face de tijolo",164,"boa","média","concreto derrramado","excelente","média","exposição boa","alojamento bom",1360,"não finalizado",0,462,1822,1,0,"forno de ar quente a gás","excelente","Y","disjuntores padrão e Romex",1828,0,0,1828,2,0,3,1,"boa",7,"funcionalidade típica",1,"boa","anexada à casa",2002,"terminada",2,523,"média","média","Y",194,144,0,0,0,0,NA,NA,NA,0,6,2009,"WD ","venda normal",279500
873,"0907280170","020","Residencial baixa densidade",70,8750,"pavimentada",NA,"regular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote interno","declive leve","College Creek","normal","normal","família única","um andar","boa","média",1997,1998,"duas águas","telha padrão (composto)","tapume de vinil","tapume de vinil","face de tijolo",209,"boa","média","concreto derrramado","boa","média","exposição média","alojamento bom",1111,"não finalizado",0,306,1417,1,0,"forno de ar quente a gás","excelente","Y","disjuntores padrão e Romex",1417,0,0,1417,2,0,3,1,"boa",7,"funcionalidade típica",1,"média","anexada à casa",1997,"não terminada",2,511,"média","média","Y",60,0,0,0,117,0,NA,NA,NA,0,8,2009,"WD ","venda normal",210000
874,"0907285020","060","Residencial baixa densidade",NA,9375,"pavimentada",NA,"regular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote interno","declive leve","College Creek","normal","normal","família única","dois andares","boa","média",1997,1998,"duas águas","telha padrão (composto)","tapume de vinil","tapume de vinil","face de tijolo",573,"m\u00e9dia","média","concreto derrramado","boa","média","No","alojamento bom",739,"não finalizado",0,318,1057,1,0,"forno de ar quente a gás","excelente","Y","disjuntores padrão e Romex",1057,977,0,2034,2,1,3,1,"boa",8,"funcionalidade típica",0,NA,"anexada à casa",1998,"acabamento grosseiro",2,645,"média","média","Y",576,36,0,0,0,0,NA,"boa privacidade",NA,0,2,2009,"WD ","venda normal",219500
875,"0907285050","060","Residencial baixa densidade",70,8750,"pavimentada",NA,"regular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote interno","declive leve","College Creek","normal","normal","família única","dois andares","boa","média",1996,1996,"duas águas","telha padrão (composto)","tapume de vinil","tapume de vinil","nenhum",0,"boa","média","concreto derrramado","boa","média","No","não finalizado",0,"não finalizado",0,880,880,0,0,"forno de ar quente a gás","excelente","Y","disjuntores padrão e Romex",909,807,0,1716,2,1,2,1,"boa",7,"funcionalidade típica",1,"média","anexada à casa",1996,"acabamento grosseiro",2,512,"média","média","Y",0,120,0,0,0,0,NA,NA,NA,0,7,2009,"WD ","venda normal",191000
876,"0907290070","020","Residencial baixa densidade",70,9100,"pavimentada",NA,"regular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote interno","declive leve","College Creek","normal","normal","família única","um andar","boa","média",2001,2001,"duas águas","telha padrão (composto)","tapume de vinil","tapume de vinil","nenhum",0,"boa","média","concreto derrramado","boa","média","No","não finalizado",0,"não finalizado",0,1212,1212,0,0,"forno de ar quente a gás","excelente","Y","disjuntores padrão e Romex",1212,0,0,1212,2,0,3,1,"boa",6,"funcionalidade típica",0,NA,"anexada à casa",2001,"acabamento grosseiro",2,573,"média","média","Y",356,0,0,0,0,0,NA,NA,NA,0,6,2009,"WD ","venda normal",178000
877,"0907290090","020","Residencial baixa densidade",75,9750,"pavimentada",NA,"regular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote interno","declive leve","College Creek","normal","normal","família única","um andar","boa","média",2000,2001,"duas águas","telha padrão (composto)","tapume de vinil","tapume de vinil","face de tijolo",171,"boa","média","concreto derrramado","boa","média","No","não finalizado",0,"não finalizado",0,1630,1630,0,0,"forno de ar quente a gás","excelente","Y","disjuntores padrão e Romex",1630,0,0,1630,2,0,3,1,"boa",6,"funcionalidade típica",1,"média","anexada à casa",2000,"não terminada",2,451,"média","média","Y",74,234,0,0,0,0,NA,NA,NA,0,10,2009,"WD ","venda normal",213000
878,"0907290180","desenvolvimento de unidade planejada de 1 andar (1946 e mais novas, todos os estilos)","Residencial média densidade",NA,4435,"pavimentada",NA,"regular","aproximadamente plana/nivelada","todas as utilidades p\u00fablicas","lote interno","declive leve","College Creek","normal","normal","unidade interna de moradia","um andar","acima da média","média",2003,2004,"duas águas","telha padrão (composto)","tapume de vinil","tapume de vinil","face de tijolo",170,"boa","média","concreto derrramado","boa","média","exposição média","alojamento bom",685,"não finalizado",0,163,848,1,0,"forno de ar quente a gás","excelente","Y","disjuntores padrão e Romex",848,0,0,848,1,0,1,1,"boa",4,"funcionalidade típica",0,NA,"anexada à casa",2003,"terminada",2,420,"média","média","Y",140,0,0,0,0,0,NA,NA,NA,0,6,2009,"WD ","venda normal",144000
